Book Name,Author,Rating,Customers_Rated,Price
The Book Woman of Troublesome Creek: A Novel,Kim Michele Richardson,4.7 out of 5 stars,"2,732",$7.59
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.4 out of 5 stars,"8,221",$1.99
My Big Fat Fake Engagement,Lauren Landish,4.8 out of 5 stars,105,$2.99
So You Want to Talk About Race,Ijeoma Oluo,4.7 out of 5 stars,497,$10.99
Kat and Juju,Kataneh Vahdani,4.4 out of 5 stars,31,$4.99
The Tour: A feel-good Irish springtime read. (The Tour Series Book 1),Jean Grainger,4.5 out of 5 stars,"1,837",$6.99
The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,4.4 out of 5 stars,"3,583",$9.99
The Hunter: An Enemies-to-Lovers Romance,L.J. Shen,4.6 out of 5 stars,816,$2.99
When We Believed in Mermaids: A Novel,Barbara O'Neal,4.6 out of 5 stars,"6,831",$4.99
Between the World and Me,Ta-Nehisi Coates,4.6 out of 5 stars,"5,557",$12.99
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.8 out of 5 stars,"23,003",$8.99
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,4.7 out of 5 stars,"2,696",$9.99
"Sing, Unburied, Sing: A Novel",Jesmyn Ward,4.3 out of 5 stars,"1,145",$2.99
The Banty House,Carolyn Brown,4.8 out of 5 stars,122,$4.99
The Bad Seed,Jory John,4.7 out of 5 stars,"4,519",$12.99
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.9 out of 5 stars,"13,217",$8.99
The Secret of the Chateau: Gripping and heartbreaking historical fiction with a mystery at its heart,Kathleen McGurl,4.7 out of 5 stars,10,$0.99
The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,4.4 out of 5 stars,750,$17.99
"Brave Girl, Quiet Girl: A Novel",Catherine Ryan Hyde,4.7 out of 5 stars,269,$4.99
Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,4.8 out of 5 stars,619,$12.99
BE MY BRAYSHAW,Meagan Brandy,4.7 out of 5 stars,143,$3.99
Don't Make a Sound: A Sawyer Brooks Thriller,T.R. Ragan,4.3 out of 5 stars,676,$4.99
The Vine Witch,Luanne G. Smith,4.4 out of 5 stars,"4,761",$4.99
Last Day,Luanne Rice,4.3 out of 5 stars,"4,058",$4.99
Hideaway: A Novel,Nora Roberts,4.0 out of 5 stars,210,$14.99
In an Instant,Suzanne Redfearn,4.7 out of 5 stars,"5,339",$1.99
